CHX41330/13;gyöngy 4mm/30m burgundi AKCI¼;0,34500;6;12;0,080;SK;0,208;0,180
TASAK ¼RIÆS TAVASZI;45 x33 cm AKCI¼S!!!   12db/set;0,19000;12;1;0,200;ST;1,200;1,000
BD01104/ABRED;gyöngy 8mm/10m    AKCI¼;0,29500;6;12;0,080;SK;0,260;0,230
BD01104/LIRED;gyöngy 8mm/10m   AKCI¼;0,29500;6;12;0,080;SK;0,260;0,230
BH70003/PINK;gyöngy        AKCI¼;0,34500;6;12;0,060;SK;0,260;0,230
AB03503/PURPLE-GREEN;akác girland 180 cm AKCI¼S;0,86000;12;6;0,250;SS;0,190;0,150
BH70011/GREEN;gyöngy 8mm x 10m   AKCI¼;0,29500;6;12;0,125;SK;0,260;0,230
AJ05000/-36 RED-BLACK;tulipán AKCI¼S!!!;0,02500;40;36;0,180;SS;0,012;0,010
GF022;italos ajándék tasak AKCI¼S!;0,02600;12;12;0,020;ST;0,009;0,006
EA54078;kis váza 4/s ÆR/DB! AKCI¼S!;0,02700;12;16;0,062;DP;0,104;0,088
EA54055;kék virágos kis váza AKCI¼S!;0,02700;16;6;0,079;DP;0,208;0,187
EA54218;delfines kis váza AKCI¼S!;0,02700;18;4;0,062;DP;0,277;0,250
EA13099;KERÆMIA házaspár  AKCI¼S;0,02700;18;8;0,089;DP;0,125;0,111
BH70001/green;gyöngy 30m x 4mm   AKCI¼;0,29500;6;12;0,056;DK;0,229;0,194
BH70001/pink;gyöngy 30m x 4mm   AKCI¼;0,34500;6;12;0,056;DK;0,229;0,194
BH70002/green;gyöngy 15m x 6mm    AKCI¼;0,29500;6;12;0,056;DK;0,319;0,291
BH70002/silver;gyöngy 15m x 6mm   AKCI¼;0,34500;1;72;0,056;UK;0,319;0,291
BH70003/green;gyöngy 10m x 8mm   AKCI¼;0,29500;6;12;0,056;DK;0,153;0,125
BH70003/pink;gyöngy 10m x 8mm     AKCI¼;0,34500;6;12;0,056;DK;0,153;0,125
BH00156/gold;bordázott hatsz. csillag 6/AKC;0,11600;4;36;0,135;UK;0,048;0,038
CA40008;csipkés met.poros szív pickAKC;0,02600;12;144;0,091;DH;0,008;0,007
21HG0084;3 ágú pálma virágzó f¾.AKCI¼S!;0,58900;4;12;0,198;DS;0,625;0,544
ED00022;nagyobb tehenek 3/s AKCI¼S!!;0,09000;18;24;0,091;DP;0,046;0,041
EA54082;mini vázák 3/s    AKCI¼S;0,02800;144;3;0,065;DP;0,046;0,041
ED00012;szív alakú szelence 4/sAKCI¼!;0,03000;48;4;0,091;DP;0,104;0,093
AK00192;"20.5""flok.gerb.szár AKCI¼S!!!";0,02800;12;72;0,084;UZ;0,017;0,015
EA30035;apostol arany köpenyben AKCI¼S;0,02700;8;12;0,080;UP;0,104;0,083
EA30036;keleti bölcs dobozzal AKCI¼S!;0,02700;9;12;0,076;UP;0,092;0,074
EA65002;Jézus kereszten kicsi AKCI¼S!!;0,02700;1;60;0,090;UP;0,333;0,300
EB03085;baba bölcsôben 2/s AKCI¼S!;0,02700;24;12;0,071;UP;0,107;0,100
